"psig","qval","med_q_val","is_sig"
0,0.998435,0.998392,FALSE
1,5.1925e-06,1.49779e-05,TRUE
0,0.679212,0.684962,FALSE
1,0.00234852,0.00309033,TRUE
0,0.355384,0.288744,FALSE
0.0761523,0.154811,0.136185,FALSE
0,0.567407,0.742779,FALSE
1,1.23689e-07,1.95391e-07,TRUE
0,0.998435,0.998418,FALSE
0,0.998435,0.998419,FALSE
0,0.998435,0.99839,FALSE
0.00400802,0.211309,0.199131,FALSE
0,0.819742,0.822011,FALSE
0,0.998435,0.998384,FALSE
0,0.894869,0.839012,FALSE
0.0140281,0.998435,0.998417,FALSE
0.947896,0.0287129,0.0281548,TRUE
1,0.00365607,0.00450401,TRUE
0,0.426322,0.421456,FALSE
0,0.998435,0.998422,FALSE
1,4.08418e-06,1.91138e-05,TRUE
0,0.381648,0.798893,FALSE
1,0.00214844,0.00312993,TRUE
1,0.00012919,0.000282973,TRUE
0,0.43339,0.442729,FALSE
0,0.0669781,0.0912935,FALSE
1,0.000296369,0.000754985,TRUE
0.00801603,0.493494,0.478286,FALSE
0.01002,0.181965,0.248743,FALSE
1,2.48402e-08,2.59319e-08,TRUE
0,0.998435,0.998409,FALSE
0,0.998435,0.998422,FALSE
0.689379,0.0389648,0.0423619,TRUE
1,6.11047e-05,9.78869e-05,TRUE
0,0.846642,0.936953,FALSE
0.0701403,0.227422,0.233508,FALSE
0,0.217736,0.225263,FALSE
0,0.24613,0.329702,FALSE
0,0.724265,0.790278,FALSE
1,6.06793e-12,1.08625e-11,TRUE
0.00200401,0.136837,0.144406,FALSE
0,0.998435,0.998422,FALSE
0,0.338417,0.998395,FALSE
0,0.998435,0.998417,FALSE
0,0.180002,0.359341,FALSE
0.348697,0.0364438,0.0855745,TRUE
1,9.79388e-07,5.21122e-06,TRUE
1,3.80543e-07,1.73935e-07,TRUE
0.482966,0.0833941,0.0508641,FALSE
0,0.280014,0.291668,FALSE
0,0.998435,0.998422,FALSE
0,0.343941,0.386715,FALSE
0.707415,0.0443832,0.0427775,TRUE
0.0400802,0.33844,0.40917,FALSE
0.01002,0.13634,0.120736,FALSE
0.00200401,0.180401,0.211252,FALSE
1,0.000228213,0.000167597,TRUE
0.913828,0.0318336,0.0276159,TRUE
1,0.00813288,0.00964734,TRUE
0,0.491023,0.550675,FALSE
0.0400802,0.0784821,0.084743,FALSE
0,0.998435,0.998419,FALSE
0,0.678857,0.69566,FALSE
0,0.392867,0.325579,FALSE
0,0.998435,0.998422,FALSE
0.761523,0.0310336,0.0398391,TRUE
0,0.998435,0.998416,FALSE
0.372745,0.0213589,0.108864,TRUE
0.01002,0.111918,0.181472,FALSE
0.0140281,0.21005,0.270269,FALSE
0,0.690268,0.689338,FALSE
0.00200401,0.403951,0.43332,FALSE
0.991984,0.0276711,0.0291039,TRUE
0.995992,0.0140063,0.0149644,TRUE
0,0.634419,0.586333,FALSE
0,0.998435,0.998422,FALSE
0.657315,0.0442553,0.0444138,TRUE
0,0.121614,0.160558,FALSE
0,0.435112,0.429668,FALSE
0,0.618614,0.636455,FALSE
0,0.276059,0.301917,FALSE
0.651303,0.0412248,0.0439738,TRUE
0,0.99194,0.998389,FALSE
0,0.993015,0.998393,FALSE
0,0.813952,0.830408,FALSE
0,0.998435,0.998398,FALSE
0,0.991808,0.964761,FALSE
0,0.998435,0.998419,FALSE
0,0.457161,0.444987,FALSE
0,0.690213,0.700332,FALSE
0.012024,0.214523,0.179761,FALSE
0,0.998435,0.998405,FALSE
0,0.259662,0.262707,FALSE
0,0.228159,0.221149,FALSE
0,0.998435,0.998419,FALSE
0.935872,0.0346054,0.0317871,TRUE
0,0.998435,0.998419,FALSE
0,0.998435,0.998418,FALSE
0,0.184122,0.156621,FALSE
0.310621,0.0503917,0.0649248,FALSE
0,0.334619,0.269317,FALSE
0.114228,0.0825749,0.0907204,FALSE
1,2.4834e-09,1.43581e-06,TRUE
0,0.477447,0.534449,FALSE
0.817635,0.0139162,0.0232267,TRUE
0.679359,0.0228144,0.0314388,TRUE
1,3.74774e-14,9.55841e-14,TRUE
0.00601202,0.106509,0.128734,FALSE
0,0.651111,0.706853,FALSE
0,0.852327,0.852859,FALSE
0,0.998435,0.998416,FALSE
0,0.665578,0.632806,FALSE
0,0.97239,0.971928,FALSE
0.00200401,0.228958,0.281294,FALSE
0,0.683034,0.707552,FALSE
0.174349,0.998435,0.635726,FALSE
0,0.998435,0.998409,FALSE
0,0.632801,0.572929,FALSE
0.729459,0.0385147,0.034182,TRUE
0,0.998435,0.998418,FALSE
0,0.998435,0.998418,FALSE
0.00200401,0.175577,0.266606,FALSE
0.0701403,0.0871061,0.0785782,FALSE
0.012024,0.185042,0.181441,FALSE
0,0.998435,0.998418,FALSE
0,0.998435,0.998405,FALSE
0.0280561,0.289275,0.149739,FALSE
0,0.998435,0.998422,FALSE
0,0.786759,0.743909,FALSE
0,0.986887,0.998391,FALSE
0.132265,0.0864568,0.10056,FALSE
1,0.000575435,0.000970054,TRUE
0,0.440181,0.531194,FALSE
0.00801603,0.998435,0.998396,FALSE
0.0200401,0.262474,0.257424,FALSE
0,0.998435,0.998383,FALSE
0,0.998435,0.998404,FALSE
0,0.668923,0.858588,FALSE
0,0.307482,0.259893,FALSE
0.0160321,0.467063,0.439851,FALSE
0,0.480512,0.457753,FALSE
1,0.000252815,0.00032439,TRUE
0.00200401,0.998435,0.998397,FALSE
0,0.407594,0.359754,FALSE
0,0.94412,0.967762,FALSE
1,1.5466e-06,2.54574e-06,TRUE
0,0.819997,0.742957,FALSE
0,0.170584,0.166502,FALSE
0,0.942426,0.953645,FALSE
0,0.740658,0.847145,FALSE
0,0.732604,0.707196,FALSE
